pitcher,team,count,n_observed,fav_observed,fav_observed_prop,fav_pitchgpt,fav_pitchgpt_prop,entropy_pitchgpt_nats,top_devs_vs_league
Andrew Painter,PHI,0-0,42,FF,0.3571,FF,0.3956,1.5037,SL:+0.168; FC:-0.087; ST:-0.045
Andrew Painter,PHI,0-1,19,FF,0.4737,FF,0.3749,1.5258,FF:+0.192; ST:-0.082; FC:-0.074
Andrew Painter,PHI,0-2,6,FF,0.8333,FF,0.3883,1.4501,FF:+0.516; SL:-0.174; ST:-0.104
Andrew Painter,PHI,1-0,20,SL,0.3,FF,0.3284,1.4916,SL:+0.156; FF:-0.111; CH:-0.104
Andrew Painter,PHI,1-1,19,SI,0.2632,FF,0.3574,1.5299,CU:+0.198; SI:+0.117; CH:-0.086
Andrew Painter,PHI,1-2,14,FF,0.3571,FF,0.3903,1.4708,CU:+0.126; ST:-0.095; CH:+0.088
Andrew Painter,PHI,2-0,7,FF,0.4286,FF,0.3338,1.4741,FC:-0.110; ST:+0.105; CH:-0.074
Andrew Painter,PHI,2-1,14,FF,0.5,FF,0.3644,1.4551,FF:+0.188; FC:-0.092; ST:+0.086
Andrew Painter,PHI,2-2,16,SL,0.3125,FF,0.3568,1.5147,SL:+0.158; SI:-0.119; CU:+0.109
Andrew Painter,PHI,3-0,1,FF,1.0,FF,0.408,1.5462,FF:+0.349; SI:-0.229; FC:-0.055
Andrew Painter,PHI,3-1,7,FF,0.4286,FF,0.4452,1.4175,ST:+0.114; FC:-0.106; CH:-0.055
Andrew Painter,PHI,3-2,9,FF,0.3333,FF,0.3703,1.5122,SI:+0.163; SL:-0.145; FC:-0.080
Grant Holmes,ATL,0-0,112,FF,0.375,SL,0.298,1.5085,SL:+0.144; SI:-0.100; ST:-0.069
Grant Holmes,ATL,0-1,49,SL,0.3673,FF,0.2672,1.5646,SL:+0.219; SI:-0.123; CU:+0.118
Grant Holmes,ATL,0-2,26,SL,0.6154,SL,0.3364,1.4755,SL:+0.441; CH:-0.119; ST:-0.104
Grant Holmes,ATL,1-0,43,FF,0.4186,FF,0.3048,1.495,SL:+0.181; FF:+0.108; CH:-0.104
Grant Holmes,ATL,1-1,42,SL,0.3571,FF,0.2854,1.5006,SL:+0.210; SI:-0.146; CU:+0.077
Grant Holmes,ATL,1-2,34,SL,0.5294,SL,0.295,1.5563,SL:+0.362; CH:-0.097; ST:-0.095
Grant Holmes,ATL,2-0,14,FF,0.5,FF,0.347,1.4574,SL:+0.233; SI:-0.147; FF:+0.125
Grant Holmes,ATL,2-1,24,SL,0.4167,FF,0.373,1.4382,SL:+0.268; SI:-0.139; CH:-0.110
Grant Holmes,ATL,2-2,41,SL,0.4634,SL,0.2985,1.4971,SL:+0.308; CU:+0.117; CH:-0.099
Grant Holmes,ATL,3-0,6,FF,0.8333,FF,0.419,1.3738,SI:-0.229; FF:+0.182; SL:+0.135
Grant Holmes,ATL,3-1,9,FF,0.8889,FF,0.3684,1.4306,FF:+0.461; SI:-0.231; SL:-0.106
Grant Holmes,ATL,3-2,19,FF,0.4737,FF,0.3171,1.488,SL:+0.223; SI:-0.118; FF:+0.103
