pitcher_id,season,max_mdi,pct_days_above_60,breached_60,pct_days_above_70,breached_70,pct_days_above_80,breached_80
429717,2015,99.94199535962876,100.0,True,92.85714285714286,True,85.71428571428571,True
543699,2016,100.0,78.57142857142857,True,78.57142857142857,True,57.14285714285714,True
448306,2015,97.47602221100455,100.0,True,100.0,True,100.0,True
488768,2016,100.0,100.0,True,100.0,True,91.66666666666666,True
434628,2016,100.0,66.66666666666666,True,58.333333333333336,True,58.333333333333336,True
474463,2015,100.0,92.3076923076923,True,92.3076923076923,True,84.61538461538461,True
592789,2016,98.56035437430786,100.0,True,100.0,True,100.0,True
504379,2016,98.515625,90.9090909090909,True,69.6969696969697,True,54.54545454545454,True
543734,2015,100.0,100.0,True,100.0,True,90.0,True
462136,2015,100.0,100.0,True,100.0,True,92.85714285714286,True
571666,2015,100.0,100.0,True,92.3076923076923,True,84.61538461538461,True
543135,2016,99.17763157894737,90.9090909090909,True,81.81818181818183,True,63.63636363636363,True
467100,2016,100.0,100.0,True,100.0,True,100.0,True
434538,2015,97.28813559322033,100.0,True,100.0,True,100.0,True
543380,2015,98.424543946932,100.0,True,100.0,True,100.0,True
607259,2015,93.84,90.9090909090909,True,90.9090909090909,True,90.9090909090909,True
592332,2016,99.24242424242425,100.0,True,100.0,True,100.0,True
517593,2016,97.6073187895848,100.0,True,91.66666666666666,True,91.66666666666666,True
527054,2016,99.71639251276234,100.0,True,100.0,True,84.61538461538461,True
570649,2016,100.0,100.0,True,100.0,True,100.0,True
460059,2015,98.60583016476554,100.0,True,100.0,True,92.3076923076923,True
502042,2016,99.70384995064165,92.85714285714286,True,92.85714285714286,True,71.42857142857143,True
607074,2015,99.44636678200692,100.0,True,100.0,True,90.0,True
543101,2015,100.0,100.0,True,100.0,True,100.0,True
573185,2016,99.33811362382791,100.0,True,100.0,True,100.0,True
543243,2015,97.59168035030103,100.0,True,100.0,True,92.3076923076923,True
501957,2015,98.96907216494846,100.0,True,100.0,True,100.0,True
517593,2015,100.0,100.0,True,100.0,True,91.66666666666666,True
502190,2016,100.0,92.3076923076923,True,84.61538461538461,True,76.92307692307693,True
533167,2016,98.67461895294898,100.0,True,100.0,True,100.0,True
446372,2016,97.60258183494697,100.0,True,93.33333333333333,True,73.33333333333333,True
543521,2015,99.95056846267919,100.0,True,92.85714285714286,True,78.57142857142857,True
445060,2016,98.43834141087775,100.0,True,100.0,True,76.92307692307693,True
612672,2015,100.0,100.0,True,100.0,True,92.3076923076923,True
501992,2015,99.29971988795518,100.0,True,100.0,True,83.33333333333334,True
608665,2016,99.64264443120905,100.0,True,91.66666666666666,True,75.0,True
571578,2016,100.0,85.0,True,70.0,True,55.00000000000001,True
425844,2016,98.11066126855602,100.0,True,100.0,True,90.9090909090909,True
592836,2016,100.0,100.0,True,81.81818181818183,True,81.81818181818183,True
501957,2016,100.0,100.0,True,100.0,True,100.0,True
547874,2016,95.4776710005653,100.0,True,100.0,True,85.71428571428571,True
543243,2016,98.78154917319408,100.0,True,100.0,True,100.0,True
446372,2015,98.30246913580247,100.0,True,100.0,True,85.71428571428571,True
453178,2016,99.70104633781763,100.0,True,100.0,True,100.0,True
282332,2015,100.0,100.0,True,100.0,True,91.66666666666666,True
543101,2016,100.0,77.77777777777779,True,77.77777777777779,True,77.77777777777779,True
502188,2015,100.0,100.0,True,92.3076923076923,True,92.3076923076923,True
519043,2016,100.0,100.0,True,100.0,True,92.85714285714286,True
407822,2015,99.65612104539203,100.0,True,100.0,True,100.0,True
605228,2016,99.94252873563218,91.66666666666666,True,83.33333333333334,True,58.333333333333336,True
