pitcher_id,n_windows,mdi_std,mdi_skew,n_high_z,n_low_z,frac_high_z,frac_low_z,well_formed,pass,std,skew
150359,2480,1.0,1.459619,590,868,0.237903,0.35,True,True,1.0,1.459619
218596,1832,1.0,1.898557,336,720,0.183406,0.393013,True,True,1.0,1.898557
276542,2348,1.0,1.46516,529,883,0.225298,0.376065,True,True,1.0,1.46516
279571,2412,1.0,3.684569,135,1679,0.05597,0.696103,True,True,1.0,3.684569
346793,543,1.0,0.795106,171,220,0.314917,0.405157,True,True,1.0,0.795106
346847,679,1.0,0.607247,220,243,0.324006,0.357879,True,True,1.0,0.607247
407890,5009,1.0,2.343037,824,2424,0.164504,0.483929,True,True,1.0,2.343037
425626,1163,1.0,0.63169,366,440,0.314703,0.378332,True,True,1.0,0.63169
429719,5169,1.0,1.180421,1460,1942,0.282453,0.375701,True,True,1.0,1.180421
430580,4152,1.0,1.395025,975,1609,0.234827,0.387524,True,True,1.0,1.395025
430630,524,1.0,0.346045,168,214,0.320611,0.408397,True,True,1.0,0.346045
430641,2684,1.0,0.873286,788,991,0.293592,0.369225,True,True,1.0,0.873286
432934,4336,1.0,2.268499,915,1918,0.211024,0.442343,True,True,1.0,2.268499
434671,12852,1.0,3.168851,1605,6148,0.124883,0.478369,True,True,1.0,3.168851
435400,1686,1.0,2.43051,333,713,0.197509,0.422894,True,True,1.0,2.43051
444436,944,1.0,1.858486,193,441,0.204449,0.467161,True,True,1.0,1.858486
444857,4221,1.0,2.180984,677,2007,0.160389,0.47548,True,True,1.0,2.180984
444935,439,1.0,1.926362,87,194,0.198178,0.441913,True,True,1.0,1.926362
445197,2892,1.0,1.987936,699,1283,0.241701,0.443638,True,True,1.0,1.987936
445612,598,1.0,0.649609,186,216,0.311037,0.361204,True,True,1.0,0.649609
446099,3285,1.0,1.906867,655,1435,0.199391,0.436834,True,True,1.0,1.906867
446399,2665,1.0,1.12526,722,959,0.270919,0.35985,True,True,1.0,1.12526
450282,986,1.0,1.909117,144,383,0.146045,0.388438,True,True,1.0,1.909117
450351,2098,1.0,1.742113,501,897,0.238799,0.42755,True,True,1.0,1.742113
450665,1569,1.0,1.426252,355,618,0.226259,0.393881,True,True,1.0,1.426252
451596,8658,1.0,3.349323,964,4387,0.111342,0.506699,True,True,1.0,3.349323
451788,542,1.0,1.50321,133,258,0.245387,0.476015,True,True,1.0,1.50321
452718,2357,1.0,2.954868,250,1402,0.106067,0.594824,True,True,1.0,2.954868
453172,4613,1.0,0.751943,1406,1775,0.304791,0.384782,True,True,1.0,0.751943
453192,5137,1.0,1.128252,1526,1903,0.297061,0.37045,True,True,1.0,1.128252
453311,2109,1.0,2.021217,408,879,0.193457,0.416785,True,True,1.0,2.021217
453329,5954,1.0,1.832871,1294,2464,0.217333,0.413839,True,True,1.0,1.832871
456068,6700,1.0,1.308413,1767,2909,0.263731,0.434179,True,True,1.0,1.308413
457429,1787,1.0,2.723578,374,778,0.209289,0.435367,True,True,1.0,2.723578
457754,588,1.0,0.909511,157,167,0.267007,0.284014,True,True,1.0,0.909511
458681,21503,1.0,2.280598,4034,9347,0.187602,0.434684,True,True,1.0,2.280598
462985,1045,1.0,3.675495,70,736,0.066986,0.704306,True,True,1.0,3.675495
467094,1249,1.0,0.594613,375,489,0.30024,0.391513,True,True,1.0,0.594613
471911,19785,1.0,1.313575,5447,7978,0.27531,0.403235,True,True,1.0,1.313575
474029,1377,1.0,2.573696,154,621,0.111837,0.45098,True,True,1.0,2.573696
475054,2949,1.0,2.214797,612,1298,0.207528,0.440149,True,True,1.0,2.214797
475115,6729,1.0,4.248881,554,3972,0.08233,0.590281,True,True,1.0,4.248881
475479,5901,1.0,2.182139,968,2705,0.16404,0.458397,True,True,1.0,2.182139
475857,502,1.0,0.410436,179,200,0.356574,0.398406,True,True,1.0,0.410436
488846,2474,1.0,7.245853,123,2181,0.049717,0.881568,False,False,1.0,7.245853
489119,17112,1.0,2.131732,3389,7562,0.198048,0.441912,True,True,1.0,2.131732
489265,5617,1.0,1.878863,1116,2207,0.198683,0.392914,True,True,1.0,1.878863
490063,5314,1.0,3.145816,728,2655,0.136997,0.499624,True,True,1.0,3.145816
501381,11008,1.0,0.779372,3345,4333,0.30387,0.393623,True,True,1.0,0.779372
502004,2890,1.0,1.606971,643,1327,0.222491,0.45917,True,True,1.0,1.606971
502043,25525,1.0,2.794304,3166,12087,0.124035,0.473536,True,True,1.0,2.794304
502264,319,1.0,1.460201,63,120,0.197492,0.376176,True,True,1.0,1.460201
502304,384,1.0,2.159544,69,216,0.179688,0.5625,True,True,1.0,2.159544
502578,515,1.0,2.954283,52,321,0.100971,0.623301,True,True,1.0,2.954283
502624,15653,1.0,1.992078,3571,6769,0.228135,0.432441,True,True,1.0,1.992078
517008,7279,1.0,1.47491,1683,2741,0.231213,0.376563,True,True,1.0,1.47491
518452,8534,1.0,1.546425,2075,3523,0.243145,0.412819,True,True,1.0,1.546425
518468,1744,1.0,4.08437,185,1040,0.106078,0.59633,True,True,1.0,4.08437
518567,2899,1.0,1.20295,739,978,0.254915,0.337358,True,True,1.0,1.20295
518771,417,1.0,0.121723,125,184,0.29976,0.441247,True,True,1.0,0.121723
519144,14858,1.0,3.923172,2497,7562,0.168058,0.508951,True,True,1.0,3.923172
519151,9366,1.0,2.029375,1395,4077,0.148943,0.435298,True,True,1.0,2.029375
519267,1221,1.0,5.442885,48,839,0.039312,0.687142,False,False,1.0,5.442885
521230,7207,1.0,1.977273,1758,2972,0.24393,0.412377,True,True,1.0,1.977273
523989,3866,1.0,2.306586,499,1968,0.129074,0.509053,True,True,1.0,2.306586
534910,3533,1.0,8.57689,117,3156,0.033116,0.893292,False,False,1.0,8.57689
543037,27322,1.0,1.884476,5345,11288,0.19563,0.413147,True,True,1.0,1.884476
543242,1075,1.0,4.424578,73,716,0.067907,0.666047,True,True,1.0,4.424578
543278,3920,1.0,1.799485,723,1590,0.184439,0.405612,True,True,1.0,1.799485
543506,3403,1.0,1.877439,605,1572,0.177784,0.461945,True,True,1.0,1.877439
543508,493,1.0,2.296144,45,230,0.091278,0.466531,True,True,1.0,2.296144
543548,6887,1.0,6.364783,619,4191,0.089879,0.608538,False,False,1.0,6.364783
543746,1338,1.0,1.097783,376,521,0.281016,0.389387,True,True,1.0,1.097783
543900,544,1.0,2.72751,47,281,0.086397,0.516544,True,True,1.0,2.72751
543935,3865,1.0,1.605178,847,1585,0.219146,0.410091,True,True,1.0,1.605178
543964,821,1.0,0.640627,285,267,0.347138,0.325213,True,True,1.0,0.640627
545064,1140,1.0,1.785598,245,441,0.214912,0.386842,True,True,1.0,1.785598
547179,15970,1.0,1.634648,2697,5984,0.168879,0.374703,True,True,1.0,1.634648
548357,2224,1.0,1.129077,692,781,0.311151,0.351169,True,True,1.0,1.129077
554234,2709,1.0,2.242988,601,1208,0.221853,0.445921,True,True,1.0,2.242988
554340,6673,1.0,2.536327,953,3049,0.142814,0.456916,True,True,1.0,2.536327
571439,426,1.0,2.255244,44,243,0.103286,0.570423,True,True,1.0,2.255244
571561,2608,1.0,2.319711,528,1175,0.202454,0.450537,True,True,1.0,2.319711
571584,591,1.0,0.316867,198,211,0.335025,0.357022,True,True,1.0,0.316867
571760,18017,1.0,1.861371,3522,7139,0.195482,0.396237,True,True,1.0,1.861371
571901,5532,1.0,2.226933,843,2545,0.152386,0.460051,True,True,1.0,2.226933
572038,481,1.0,1.594619,79,198,0.164241,0.411642,True,True,1.0,1.594619
572070,9465,1.0,3.212616,1510,4487,0.159535,0.474062,True,True,1.0,3.212616
572362,3171,1.0,2.63765,339,1571,0.106906,0.495427,True,True,1.0,2.63765
572403,3989,1.0,3.748106,506,2242,0.126849,0.562046,True,True,1.0,3.748106
572788,1193,1.0,1.485613,259,447,0.2171,0.374686,True,True,1.0,1.485613
572888,5776,1.0,4.674541,937,2841,0.162223,0.491863,True,True,1.0,4.674541
573127,1251,1.0,1.25965,328,532,0.26219,0.42526,True,True,1.0,1.25965
592314,11813,1.0,1.57515,2604,4638,0.220435,0.392618,True,True,1.0,1.57515
592717,10403,1.0,2.048661,1694,4403,0.162838,0.423243,True,True,1.0,2.048661
592826,12398,1.0,2.050075,2245,5365,0.181078,0.432731,True,True,1.0,2.050075
593372,12328,1.0,2.496707,2041,5834,0.165558,0.473232,True,True,1.0,2.496707
594736,2457,1.0,1.958836,358,1050,0.145706,0.42735,True,True,1.0,1.958836
595307,1615,1.0,1.427289,370,614,0.229102,0.380186,True,True,1.0,1.427289
605135,20414,1.0,3.677866,3519,9183,0.172382,0.449838,True,True,1.0,3.677866
605151,7959,1.0,1.072246,2290,2939,0.287725,0.369267,True,True,1.0,1.072246
605169,617,1.0,1.457536,126,192,0.204214,0.311183,True,True,1.0,1.457536
605309,3530,1.0,2.561667,686,1577,0.194334,0.446742,True,True,1.0,2.561667
605333,280,1.0,1.126479,77,114,0.275,0.407143,True,True,1.0,1.126479
605374,443,1.0,0.43367,146,156,0.329571,0.352144,True,True,1.0,0.43367
605476,1499,1.0,1.164925,397,578,0.264843,0.38559,True,True,1.0,1.164925
605894,1147,1.0,1.293862,299,472,0.26068,0.411508,True,True,1.0,1.293862
612434,7378,1.0,1.606466,1496,2826,0.202765,0.383031,True,True,1.0,1.606466
621121,13631,1.0,2.138957,2825,5481,0.207248,0.402098,True,True,1.0,2.138957
622072,15644,1.0,1.27513,4418,6148,0.282409,0.392994,True,True,1.0,1.27513
640455,19285,1.0,1.221712,5483,7565,0.284314,0.392274,True,True,1.0,1.221712
